product_id,product_name,category,description
1,Stylish T-Shirt,Clothing,Comfortable cotton t-shirt in various colors
2,Running Shoes,Footwear,Lightweight shoes designed for runners
3,Smartphone Case,Accessories,Protective case for your smartphone
4,Wireless Headphones,Electronics,Bluetooth headphones with noise cancellation
5,Laptop Backpack,Bags,Water-resistant backpack with laptop compartment
6,Water Bottle,Sports,Insulated water bottle that keeps drinks cold for hours
7,Coffee Mug,Kitchen,Ceramic mug with a stylish design
8,Desk Lamp,Home,Adjustable LED desk lamp for work or study
9,Yoga Mat,Fitness,Non-slip yoga mat for comfortable exercise
10,Bluetooth Speaker,Electronics,Portable speaker with excellent sound quality
